scenario_id,attack_type,attack_rate,attack_severity,configuration_id,comparison_type,classifier,reference_classifier,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,reference_configuration_id
mixed__r0p10__medium,mixed,0.1,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.11000000000000001,0.11128666686635116,-0.028180647728153763,0.2481806477281538,
mixed__r0p10__medium,mixed,0.1,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.18620247205506382,0.012067558481977709,-0.20118632496836591,-0.17121861914176173,
mixed__r0p10__medium,mixed,0.1,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.09362790253923466,0.037516347023727574,-0.14021059998275315,-0.04704520509571617,
mixed__r0p10__medium,mixed,0.1,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.18733333333333332,0.11000378781357185,0.05074559033906664,0.32392107632760003,
mixed__r0p05__low,mixed,0.05,LOW,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.024594904268942057,0.009479657699867514,-0.03636545395017201,-0.012824354587712106,
mixed__r0p05__low,mixed,0.05,LOW,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.012469948007715791,0.022663518051521645,-0.01567052642952212,0.040610422444953706,
mixed__r0p05__low,mixed,0.05,LOW,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.24599999999999994,0.11191266436129758,0.10704207371940486,0.384957926280595,
mixed__r0p05__low,mixed,0.05,LOW,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.024595066482114927,0.009479969029723647,-0.0363660027304188,-0.01282413023381105,
mixed__r0p05__low,mixed,0.05,LOW,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.012469948007715791,0.022663518051521645,-0.01567052642952212,0.040610422444953706,
mixed__r0p05__low,mixed,0.05,LOW,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.24599999999999994,0.11191266436129758,0.10704207371940486,0.384957926280595,
mixed__r0p05__low,mixed,0.05,LOW,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.024962237115474406,0.010554426377257651,-0.03806728836981783,-0.011857185861130985,
mixed__r0p05__low,mixed,0.05,LOW,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.02600754214180569,0.02595397748937261,-0.006218577316964808,0.05823366160057619,
mixed__r0p05__low,mixed,0.05,LOW,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.3506666666666667,0.11186301146193647,0.21177039260361477,0.4895629407297186,
mixed__r0p05__high,mixed,0.05,HIGH,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.15407315061806953,0.005617827160804184,-0.1610486043517769,-0.14709769688436217,
mixed__r0p05__high,mixed,0.05,HIGH,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.09858561112709914,0.06659482266023889,-0.1812740048911477,-0.015897217363050567,
